('jJ9', 4931, 4987.15, 128.72, 801.63)
('BH1', 16640, 16712.69, 178.75, 725.68)
('dn8', 2361, 2397.58, 160.87, 848.04)
('cjD', 4173, 4176.17, 134.1, 728.88)
('jqv', 14620, 14627.0, 195.87, 855.64)
('mJ7', 35054, 35128.41, 175.43, 817.56)
('in7', 34829, 34846.48, 160.99, 897.44)
('vH8', 20692, 20747.3, 100.22, 788.53)
('eTY', 35171, 35240.39, 179.83, 878.61)
('nAB', 31633, 31662.22, 155.02, 811.62)
('q5', 741, 791.74, 183.64, 788.39)
('FI1', 3424, 3468.62, 159.15, 853.52)
('mpt', 17362, 17402.37, 151.44, 810.71)
('gsT', 32795, 32862.83, 171.31, 839.36)
('BGN', 9017, 9018.0, 110.91, 723.13)
('ghO', 23967, 24005.35, 146.04, 720.52)
('zWZ', 30508, 30561.79, 107.94, 748.89)
('jt9', 25320, 25345.98, 162.7, 780.2)
('kKP', 20425, 20496.17, 189.05, 820.7)
('duD', 6352, 6366.77, 107.17, 839.02)
('oTZ', 35983, 36020.73, 120.65, 890.94)
('V', 34, 73.18, 102.0, 708.2)
('EFT', 7207, 7272.36, 125.57, 804.56)
('aBU', 7910, 7965.1, 133.76, 781.56)
('AEF', 16686, 16749.22, 107.92, 820.01)
('oBL', 9063, 9116.28, 173.93, 880.31)
('gPS', 34641, 34669.59, 180.53, 851.43)
('J68', 6321, 6351.46, 152.75, 773.02)
('pNQ', 35928, 35939.2, 174.28, 714.61)
('gr0', 21874, 21945.71, 133.45, 781.76)
('mtU', 17202, 17240.62, 193.29, 735.64)
('CJU', 19346, 19366.77, 132.28, 787.97)
('st6', 5084, 5157.11, 119.46, 870.24)
('mxy', 8280, 8300.88, 128.39, 812.85)
('xLY', 13548, 13558.85, 149.88, 784.21)
('QST', 26784, 26853.15, 163.28, 804.74)
('cnS', 23702, 23715.57, 181.46, 788.41)
('QU5', 28831, 28877.98, 119.58, 840.8)
('j30', 24402, 24452.18, 195.1, 770.74)
('pBF', 7644, 7670.72, 160.96, 895.54)
('hlq', 21698, 21769.69, 162.16, 779.85)
('dfP', 4347, 4352.82, 136.41, 713.01)
('VY0', 27707, 27734.85, 122.22, 772.44)
('a37', 8301, 8345.72, 166.08, 858.12)
('wGX', 36333, 36347.5, 154.99, 749.23)
('boX', 21212, 21248.05, 154.56, 792.44)
('qsU', 22853, 22872.84, 164.94, 864.88)
('bep', 24445, 24487.97, 147.95, 854.44)
('wMW', 5280, 5347.81, 181.68, 896.19)
('LQS', 3224, 3297.27, 130.8, 728.04)
('EFZ', 24806, 24875.43, 109.98, 714.05)
('rRU', 9870, 9935.38, 128.15, 763.07)
('rz4', 11219, 11238.73, 181.58, 745.95)
('amU', 8897, 8910.86, 195.64, 864.19)
('KMO', 32754, 32755.54, 131.79, 833.86)
('EP2', 15507, 15558.31, 106.9, 844.94)
('D3', 1812, 1826.86, 197.54, 822.17)
('DY9', 19409, 19448.09, 147.13, 848.01)
('CEN', 26225, 26247.75, 148.61, 873.36)
('tzV', 31730, 31780.6, 106.13, 873.82)
('hkS', 13573, 13612.0, 155.15, 714.73)
('qsP', 36186, 36252.97, 109.13, 898.89)
('abZ', 12885, 12929.33, 155.18, 882.84)
('nuF', 24038, 24078.96, 169.19, 735.39)
('256', 12753, 12780.36, 139.0, 847.52)
('jJ6', 11598, 11657.51, 194.63, 730.27)
('cv', 740, 767.43, 177.45, 789.32)
('gw8', 2350, 2379.79, 151.87, 795.98)
('TX0', 24523, 24560.74, 180.14, 804.42)
('kyY', 9826, 9858.54, 143.78, 831.4)
('mv8', 33926, 33953.53, 105.46, 857.67)
('SV8', 6211, 6238.2, 133.05, 776.51)
('OZ2', 6109, 6124.22, 183.63, 790.16)
('df4', 33941, 33961.92, 192.87, 784.37)
('yT9', 2335, 2373.88, 181.59, 744.0)
('cAV', 32604, 32626.7, 116.4, 728.04)
('uJU', 31389, 31418.11, 152.91, 805.85)
('iuO', 29558, 29625.01, 174.04, 831.21)
('17', 904, 913.12, 132.84, 805.2)
